name,country,sports,age,gender,philosophy,ambition,hero
MILENKOVIC Petar,Serbia, Powerlifting,36,Male,"""We have one life, one chance, so there is no time for waiting."" (RTS Tako stoje stvari - Zvanicni kanal YouTube channel, 16 Jun 2017)","To win gold at the 2020 Paralympic Games in Tokyo. (mondo.rs, 31 Jul 2019)","Kazakhstani weightlifter Ilia Ilyin. (Athlete, 07 Dec 2017)"
MILLAGE Nichole,United States of America, Sitting Volleyball,44,Female,,,
MILLER Asya,United States of America, Goalball,41,Female,"""Make sacrifices, not excuses."" (Athlete, 01 Apr 2016)",,
MILLER Mareike,Germany, Wheelchair Basketball,31,Female,"""One of the greatest pleasures in life is doing things that others say you cannot do."" (newsaktuell.de, 10 Apr 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. (basketballexperience.nl, 01 Jun 2019)",
MILLER Marlaina,Israel, Rowing,26,Female,"""Do one thing every day that scares you."" (Athlete, 26 Aug 2021)",,
MILLER Owen,Great Britain, Athletics,29,Male,"""Train hard. Get good advice and coaching, run for as long as it's still fun. Always do your stretching and drills."" (scottishdisabilitysport.com, 21 Jul 2016)","To compete at the 2020 Paralympic Games in Tokyo. (scottishdisabilitysport.com, 01 Jan 2020)",
MILLER Tyler,Canada, Wheelchair Basketball,37,Male,,,"Canadian ice hockey player Cam Neely, Para athlete Rick Hansen. (paralympic.ca, 04 Nov 2011; therecord.com, 18 Sep 2017)"
MILLWARD Stephanie,Great Britain, Swimming,39,Female,"""Swimming has helped me get my life back. In fact, it has given me a life. If I walk too far, I get tired and I fall and I start tripping over, but I don't need to walk when I am swimming. I have no trouble in the water. It is a safe thing for me."" (mirror.co.uk, 18 Apr 2012)","To win a medal at the 2020 Paralympic Games in Tokyo. (edinburghnews.scotsman.com, 24 Apr 2019; manchestereveningnews.co.uk, 26 Apr 2019)","British swimmer Mark Foster. (British Swimming, 19 Aug 2010)"
MILNE Jonathon,Australia, Archery,35,Male,"""What I enjoy most about archery is there is always something to work on and try to improve. You will never stop learning and I also enjoy helping others to improve and see them start to really enjoy shooting."" (psearchery.com.au, 08 Mar 2020)","To compete at the 2020 Paralympic Games in Tokyo. (paralympic.org, 15 Jan 2019)",
MINA APONZA Jean Carlos,Colombia, Athletics,20,Male,"""Make things happen."" (Athlete, 23 Aug 2021)",,"His mother. (Athlete, 23 Aug 2021)"
MINAI Akito,Japan, Swimming,18,Male,,"To win a gold medal at the 2024 Paralympic Games in Paris. (mainichi.jp, 14 Feb 2019)",
MINAKAWA Tetsuo,Japan, Sitting Volleyball,40,Male,,,
MINAMI Nobuhiro,Japan, Table Tennis,52,Male,"""Have your own thoughts firmly. Think all your life and keep walking."" (pref.kagawa.lg.jp, Mar 2019; Facebook profile, 01 Nov 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. (pref.kagawa.lg.jp, Mar 2019; news.ksb.co.jp, 01 Jul 2021)",
MINNECI Barbara,Belgium, Equestrian,52,Female,"""Ride every competition as if it was the last one and enjoy it."" (Athlete, 06 Aug 2012)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 03 May 2021)",
MIRABILE Gian Filippo,Italy, Rowing,53,Male,"""Never feel sorry for yourself, it is useless. Whatever happens in life, work or sport, we must always look on the positive side. If a person sees the positive side every time, they live better."" (sportabilityliguria.it, 13 Jun 2021)","To compete at the 2020 and 2024 Paralympic Games. (Instagram profile, 13 Aug 2021; masticarecalcio.it, 03 Aug 2021)",
MIRANDA HERRERA Nely,Mexico, Swimming,49,Female,"""The hardest rival to beat is yourself."" (Athlete, 04 Dec 2017)",,"Mexican wheelchair racer Saul Mendoza. (Athlete, 04 Dec 2017)"
MIRZAEVA Shakhnoza,Uzbekistan, Canoe Sprint,22,Female,,,
MIRZAYOROVA Asila,Uzbekistan, Athletics,22,Female,,,"Russian pole vaulter Yelena Isinbayeva. (Athlete, 06 Nov 2019)"
MIRZOKHIDOVA Nigorakhon,Uzbekistan, Swimming,19,Female,,"To win gold at the 2020 Paralympic Games in Tokyo, and to set Paralympic and world records in 100m backstroke. (Athlete, 25 Mar 2021)","Hungarian swimmer Katinka Hosszu. (Athlete, 25 Mar 2021)"
MISHUROVA Irina,RPC, Wheelchair Fencing,28,Female,"""One for all, all for one."" (Athlete, 22 Apr 2012)",,
MISPELKAMP Regine,Germany, Equestrian,50,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (mispelkamp.com, 07 Jun 2021)",
MITCHELL Cassie,United States of America, Athletics,40,Female,"""Believe in yourself, take risks, and never give up."" (ninds.nih.gov, 13 Aug 2019)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (Machine Learning Center at Georgia Tech YouTube channel, 13 Sep 2019)",
MIURA Hiroshi,Japan, Powerlifting,56,Male,"""Now or never."" (parasapo.tokyo, 26 Jul 2021)","To set a personal best at the 2020 Paralympic Games in Tokyo and to compete at the 2024 Games in Paris. (yomiuri.co.jp, 23 Aug 2020)",
MIYAJI Mitsuhide,Japan, Equestrian,63,Male,"""The horses brought me back to life. All I would like to say to them is really, truly, thank you."" (JRA YouTube channel, 19 Jul 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (news24.jp, 08 Jul 2021)","British Para equestrian Lee Pearson. (Athlete, 08 Sep 2016)"
MIYAJIKI Koji,Japan, Goalball,26,Male,,"To win gold at the 2020 Paralympic Games in Tokyo. (japanpost.jp, 20 Dec 2020)",
MIYAJIMA Tetsuya,Japan, Wheelchair Basketball,32,Male,,"To win gold at the 2020 Paralympic Games in Tokyo. (tcnet.ne.jp, 23 Dec 2019)",
MIYAMOTO Leon,Japan, Archery,37,Male,,"To score 700 points at the 2020 Paralympic Games in Tokyo. (city.taito.lg.jp, 26 Jul 2021)",
MIYAZAKI Satoru,Japan, Swimming,29,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (sapporo.ecochil.info, 08 May 2017)","Japanese swimmer Kosuke Kitajima. (Athlete, 06 Sep 2016)"
MIZRAHI Or,Israel, Goalball,28,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (ynet.co.il, 06 Jan 2021)",
MIZUTA Mika,Japan, Shooting,24,Female,"""I don't pressure myself into thinking I need to hit dead centre. Instead, I tell myself, 'If you hit 10.6 points or above per shot, good. If it's lower, not good'. I think that's what works for me."" (parasapo.tokyo, 12 Nov 2020)","To compete at the 2020 Paralympic Games in Tokyo. (1242.com, 31 Jan 2020)",
MOEBIUS Moritz Alexander,Germany, Shooting,22,Male,"""There's always a solution."" (Athlete, 22 Aug 2021)","To reach the final at the 2020 Paralympic Games in Tokyo. (Athlete, 22 Aug 2021)",
MOESCU Eduard Mihaita,Romania, Cycling Road,35,Male,"""I believe that cycling is a way of life that you only choose if you like it. Cycling has taught me that if you want something in life, no matter how complicated, you can get it with sacrifices."" (ciclism.ro, 25 May 2020)",,
MOESCU Eduard Mihaita,Romania, Cycling Track,35,Male,"""I believe that cycling is a way of life that you only choose if you like it. Cycling has taught me that if you want something in life, no matter how complicated, you can get it with sacrifices."" (ciclism.ro, 25 May 2020)",,
MOFOKENG Tebogo,South Africa, Athletics,21,Male,"""Wake up early, do what's best for you and dwell on your goals."" (Facebook profile, 21 Jul 2021)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 14 Aug 2021)","Portuguese footballer Cristiano Ronaldo, South African Para athlete Ntando Mahlangu. (apnews.com, 20 Jun 2018; iol.co.za, 04 Jun 2018)"
MOGGE Juliane,Germany, Athletics,31,Female,,"To compete at the 2024 Paralympic Games in Paris. (Athlete, 21 Aug 2021)",
MOGOS Ionela Andreea,Italy, Wheelchair Fencing,33,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (repubblica.it, 23 Apr 2021)","Italian fencer Elisa Di Francisca. (comitatoparalimpico.it, 01 Jan 2021)"
MOGUCHAIA Aleksandra,RPC, Athletics,31,Female,"""Never give up."" (Athlete, 29 May 2016)","To win gold at the 2020 Paralympic Games in Tokyo. (Athlete, 26 Oct 2019)","US 400m runner Sanya Richards-Ross, her father. (Athlete, 29 May 2016)"
MOHAMAD ARIFFIN Siti Noor Iasah,Malaysia, Athletics,31,Female,"""Desire for gold."" (Athlete, 21 Oct 2015)",,"Australian sprinter Cathy Freeman. (Athlete, 21 Oct 2015)"
MOHAMAD Mohamad,Syrian Arab Republic, Athletics,37,Male,,,"His father. (Athlete, 25 Aug 2021)"
MOHAMAD PUZI Mohamad Ridzuan,Malaysia, Athletics,33,Male,"""Fight for gold."" (Athlete, 21 Oct 2015)",,"Jamaican sprinter Usain Bolt. (Athlete, 06 Nov 2019)"
MOHAMAD YASLI Nur Aini,Singapore, Powerlifting,29,Female,"""People have the mindset that impaired people have lesser abilities. But when they see that you have the strength too, they look at you in a different light."" (straitstimes.com, 15 Sep 2017)","To compete at the 2020 Paralympic Games in Tokyo. (berita.mediacorp.sg, 22 Jun 2021)","Indonesian Para powerlifter Ni Nengah Widiasih, Singaporean Para swimmer Theresa Goh. (Athlete, 11 Jul 2019, 22 Aug 2021; straitstimes.com, 09 Jul 2021)"
MOHAMMAD NEZHAD Mohammad,Islamic Republic of Iran, Wheelchair Basketball,29,Male,"""Never give up."" (Athlete, 22 Aug 2021)",,"Iranian wheelchair basketball Alireza Ahmadi . (Athlete, 22 Aug 2021)"
MOHAMMADI Mahdi,Islamic Republic of Iran, Cycling Road,29,Male,,,
MOHAMMADI Mahdi,Islamic Republic of Iran, Cycling Track,29,Male,,,
MOHAMMADIAN Sajad,Islamic Republic of Iran, Athletics,37,Male,"""Peace through sport."" (Athlete, 23 Jul 2017)","To compete at the 2020 Paralympic Games in Tokyo. (javanonline.ir, 22 Oct 2018)","Coach Mostafa Bahrami. (Athlete, 24 Nov 2019)"
MOHD ZAIS Nur Azlia Syafinaz,Malaysia, Cycling Road,23,Female,,,
MOHSIN Rasool,Iraq, Powerlifting,33,Male,,,
MOKHTARI HEMAMI Alireza,Islamic Republic of Iran, Athletics,43,Male,"""I always quote Michael Phelps, who says that the key to success is to visualise all the good and the bad things that can potentially happen, so that you are not overwhelmed when they do."" (khabarban.com, 13 Apr 2021)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (khabarban.com, 13 Apr 2021)",
MOKO Juliana Ngleya,Angola, Athletics,21,Female,"""To run and win."" (Athlete, 06 Nov 2019)",,"Angolan Para sprinter Jose Armando Sayovo. (Athlete, 23 Aug 2021)"
MOLINA GOMEZ Andres Esteban,Costa Rica, Taekwondo,33,Male,,,
MOLINA Samuel,Mexico, Archery,39,Male,"""I accomplish my dreams every single day."" (Instagram profile, 05 Aug 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (elsoldezamora.com.mx, 10 Aug 2021)","Mexican racing driver Gil Molina. (Athlete, 22 Aug 2021)"
MOLKOV Aleksandr,RPC, Swimming,34,Male,"""Get over yourself of yesterday. Overtake yourself of yesterday."" (progorodnn.ru, 15 Sep 2020)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 10 Mar 2021)","US fitness model and actor Greg Plitt. (Athlete, 16 Aug 2019)"
MOLLIENS Stephane,France, Table Tennis,46,Male,"""Make your opponent proud to be beaten by you."" (Athlete, 27 Jul 2016)","To compete at the 2020 Paralympic Games in Tokyo. (moselle.fr, 18 Oct 2019)","Spanish tennis player Rafael Nadal. (Athlete, 27 Jul 2016)"
MOMME Kaare,Denmark, Wheelchair Rugby,29,Male,,,
MONAHAN Patrick,Ireland, Athletics,35,Male,"""Give it my best in preparation and competition."" (Athlete, 18 Aug 2021)","To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 09 Aug 2021)","Irish rugby union player Paul O'Connell. (Athlete, 18 Aug 2021)"
MONTEIRO Beatriz,Portugal, Badminton,15,Female,,,"Spanish badminton player Carolina Marin. (Athlete, 24 Aug 2021)"
MONTEIRO Miguel,Portugal, Athletics,20,Male,"""Throwing is life. Never quit."" (Athlete, 20 Aug 2018)","To continue improving his personal best in shot put. (ua.pt, 02 Mar 2021)","Portuguese triple jumper Nelson Evora. (Athlete, 06 Nov 2019)"
MONTENEGRO BATISTA LINS Ana Raquel,Brazil, Cycling Road,30,Female,,,
MONTENEGRO BATISTA LINS Ana Raquel,Brazil, Cycling Track,30,Female,,,
MONTIEL CORTIJO Almudena,Spain, Wheelchair Basketball,30,Female,,,
MONTILLA VERA Jose Gregorio,Venezuela, Swimming,20,Male,"""I do what they said I would never do."" (Instagram profile, 19 Jul 2019)","To compete at the 2020 Paralympic Games in Tokyo. (el-nacional.com, 25 Nov 2018; radiomundial.com.ve, 16 Mar 2017)",
MONTJANE Kgothatso,South Africa, Wheelchair Tennis,35,Female,"""Fight until you win."" (Athlete, 11 Aug 2015)","To compete at the 2020 Paralympic Games in Tokyo. (firstsportz.com, 23 Nov 2020)","Dutch wheelchair tennis player Esther Vergeer, US tennis players Serena and Venus Williams. (Athlete, 11 Aug 2015; firstsportz.com, 23 Nov 2020)"
MONTVYDAS Nerijus,Lithuania, Goalball,36,Male,"""Sport is health."" (Athlete, 01 Apr 2016)",,
MOODY Bailey,United States of America, Wheelchair Basketball,19,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 09 Feb 2020)",
MOON Aeekyung,Republic of Korea, Shooting,52,Female,,,
MOON Sung Keum,Republic of Korea, Table Tennis,52,Female,,,
MOORE Charlotte,Great Britain, Wheelchair Basketball,22,Female,"""Be passionate and enjoy what you do, because it makes hard work more fun."" (Athlete, 20 Jul 2016)","To reach the final at the 2020 Paralympic Games in Tokyo. (shu.ac.uk, 01 Jan 2019)","US wheelchair racer Tatyana McFadden. (Athlete, 20 Jul 2016)"
MOOS Nele,Germany, Athletics,19,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (teamdeutschland-paralympics.de, 21 Aug 2020)",
MORAES Guilherme,Brazil, Boccia,31,Male,,"To compete at the 2020 Olympic Games in Tokyo. (Instagram profile, 15 Aug 2021)",
MORAL PEDRERO Eva Maria,Spain, Triathlon,39,Female,"""People do not know how strong they are until there is no choice but to be strong. In the years since my accident I have learned a lot. I have come across people who are very worthwhile and I want to think that I have helped some others too."" (telva.com, 25 Jan 2021)","To compete at the 2020 Olympic Games in Tokyo. (marca.com, 29 Mar 2016)","Spanish triathlete Javier Gomez Noya. (telva.com, 25 Jan 2021)"
MORALES Jordi,Spain, Table Tennis,35,Male,"""Pain is temporary, glory is forever."" (Twitter profile, 07 Apr 2021; Athlete, 15 Oct 2015)","To compete at the 2020 Paralympic Games in Tokyo. (marca.com, 18 Apr 2019)","Spanish Para table tennis player Alvaro Valera. (paralympic.org, 06 Dec 2018; Athlete, 15 Oct 2015)"
MORCH Emmanuelle,France, Wheelchair Tennis,31,Female,"""Becoming professional at a sport is an amazing experience, but it is really difficult. You will have to overcome many obstacles. I think that you need to be passionate about what you are doing, know why you are doing it and be surrounded by people who support you."" (beboldpeople.com, 13 Dec 2016)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook page, 25 Mar 2021)","French sailor Maud Fontenoy. (Athlete, 27 Jun 2016)"
MOREAU Charles,Canada, Cycling Road,39,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (cbc.ca, 16 Sep 2016)",
MOREL Ruth Sylvie,Canada, Wheelchair Fencing,65,Female,"""Success is the sum of small efforts, repeated day in and day out."" (fencing.ca, 01 Jan 2012)","To compete at the 2020 Paralympic Games in Tokyo. (sportsdigest.in, 09 Jul 2021)",
MORELLI Efrem,Italy, Swimming,41,Male,"""It is not what you have been, it is more important what you become."" (Facebook page, 18 Aug 2018)","To compete at the 2020 Paralympic Games in Tokyo. (fitadvisor.it, 09 Jul 2018)","Italian motocross rider Antonio Cairoli. (Athlete, 09 Sep 2019)"
MORELLI Shawn,United States of America, Cycling Road,45,Female,"""You can choose to live or you can choose not to."" (marysvilleonline.net, 20 Sep 2014)","To win gold at the 2020 Paralympic Games in Tokyo. (paralympic.org, 06 Feb 2020)",
MORELLI Shawn,United States of America, Cycling Track,45,Female,"""You can choose to live or you can choose not to."" (marysvilleonline.net, 20 Sep 2014)","To win gold at the 2020 Paralympic Games in Tokyo. (paralympic.org, 06 Feb 2020)",
MORENO Leomon,Brazil, Goalball,28,Male,"""Train hard to compete easy."" (Athlete, 01 Apr 2016)","To win gold at the 2020 Paralympic Games in Tokyo. (ge.globo.com, 11 Feb 2021)","His brother. (Athlete, 01 Apr 2016)"
MORENO Maria Florencia,Argentina, Wheelchair Tennis,32,Female,"""There will be obstacles, there will be doubts, there will be errors, but with hard work, there won't be limits."" (Facebook page, 18 Feb 2020)","To compete at the 2020 Paralympic Games in Tokyo and to be among the top 10 players in the world. (ole.com.ar, 21 Oct 2019; Athlete, 22 Aug 2021)",
MORGANTI Sara,Italy, Equestrian,45,Female,"""Believe in your dreams. Sometimes if you believe, you can do more than you think."" (epochtimes.it, 19 Sep 2014)",,"British Para equestrian rider Lee Pearson. (Athlete, 08 Aug 2012)"
MORILLO GIL Naibys Daniela,Venezuela, Athletics,21,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 29 Nov 2021)","Venezuelan triple jumper Yulimar Rojas, Jamaican sprinter Usain Bolt. (Athlete, 06 Nov 2019)"
MORIN Lenaig,France, Badminton,30,Female,"""Always move forward."" (actu.fr, 20 May 2021)","To compete at the 2020 Paralympic Games in Tokyo. (actu.fr, 30 Jul 2021)",
MORKVYCH Nataliia,Ukraine, Wheelchair Fencing,29,Female,"""It's all to the good."" (Athlete, 29 Aug 2016)","To win a gold medal at the Paralympic Games. (sport.24tv.ua, 15 Jan 2019)",
MORLACCHI Federico,Italy, Swimming,27,Male,"""Swimming has taught me to lose. Defeat is part of a person's life and sports as well as school teach you to react to defeats. Sport prepares you for a world that no longer has this sweetness, so you must know that in times of need you must be ready and in the unfortunate event that it goes wrong you must be ready to get up immediately."" (azzurridigloria.com, 19 Nov 2020)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (azzurridigloria.com, 19 Nov 2020)","Australian Para swimmer Matthew Cowdrey, Italian Para swimmer Simone Barlaam, US swimmer Michael Phelps.(Athlete, 09 Sep 2019; azzurridigloria.com, 19 Nov 2020)"
MOROISHI Mitsuteru,Japan, Wheelchair Tennis,54,Male,,"To win a medal at the 2020 Paralympic Games in Tokyo. (asahi.com, 20 Aug 2020)","Japanese wheelchair tennis player Satoshi Saida. (Athlete, 20 Jul 2016)"
MORRISON Conner,Great Britain, Swimming,24,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (pressandjournal.co.uk, 01 Jul 2021)",
MORTENSEN Jakob,Denmark, Wheelchair Rugby,24,Male,,,
MOSAAD Amr,Egypt, Powerlifting,29,Male,,,
MOSHKOVICH Svetlana,RPC, Cycling Road,38,Female,"""Emotions need to be given an outlet. Every day you can learn to be strong, draw lessons from failures and unbelievably difficult losses. But never give up. Life is wonderful, and sport can help you to understand it."" (sportbox.ru, 19 Jun 2013)",,
MOSHKOVSKAIA Ekaterina,RPC, Rowing,24,Female,"""The most important thing is the desire to achieve your goals."" (murmansk.aif.ru, 16 May 2018)","To compete at the 2020 Paralympic Games in Tokyo, and the 2022 Paralympic Winter Games in Beijing. (murmansk.kp.ru, 29 Jul 2021)","Russian Para cross-country skier and biathlete Mikhalina Lysova. (murmansk.aif.ru, 16 May 2018)"
MOSKALENKO Anastasiia,Ukraine, Athletics,21,Female,,,
MOSNICKA Tomas,Czech Republic, Cycling Road,54,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (tomasmosnicka.cz, 01 Jan 2021)","Czech ice hockey player Jaromir Jagr, Italian MotoGP rider Valentino Rossi. (Athlete, 21 Aug 2021)"
MOSQUERA Adrian,Spain, Canoe Sprint,25,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (lavozdegalicia.es, 14 May 2021)",
MOTA ECHARRY Belkis Dayanara,Venezuela, Swimming,38,Female,"""Limits exist only in your mind."" (Athlete, 02 Dec 2017)","To compete at the 2020 Paralympic Games in Tokyo. (laprensalara.com.ve, 29 Jun 2017)","Hungarian swimmer Katinka Hosszu. (Athlete, 02 Dec 2017)"
MOTAGHIAN MOAVI Hashemiyeh,Islamic Republic of Iran, Athletics,35,Female,"""Sport has strengthened my willpower. If I want to achieve something, I focus all of my efforts on it."" (shamdani.com, 16 Feb 2015)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (isna.ir, 15 Oct 2020)",
MOUAMBAKO Emmanuel Grace,Congo, Athletics,32,Male,"""Anything is possible."" (Athlete, 25 Aug 2021)","To win a Paralympic Games gold medal. (Athlete, 25 Aug 2021)","Canadian sprinter Andre De Grasse. (Athlete, 25 Aug 2021)"
MOUKAGNI MOUKAGNI Davy Rendhel,Gabon, Athletics,30,Male,,"To win medals at international competitions. (Athlete, 25 Aug 2021)","Gabonese sprinter Charles Tayot. (Athlete, 25 Aug 2021)"
MOULAM Beth,Great Britain, Boccia,27,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (Instagram profile, 27 Jul 2021)","British Para athlete Caroline Baird. (bethmoulam.com, 27 Jul 2021)"
MOULD Toni,South Africa, Cycling Road,37,Female,"""Cycling has brought so much more than the joy of competing. The health benefits far outweigh any medals or trophies that I might ever win. As someone with a disability, I have to keep my body as active as possible within my abilities and cycling has given me that opportunity. Mentally and emotionally, cycling has helped me overcome depressive episodes and isolation, create new friendships, and given me a sense of community. It has also fulfilled a life long dream of travelling."" (tonimould.wixsite.com, 12 May 2021)","To compete at the 2020 Paralympic Games in Tokyo. (Facebook profile, 14 Aug 2021; thisability.co.za, 02 Dec 2019)","South African Para cyclists Justine Asher and Roxy Burns. (inthebunch.co.za, 18 Feb 2020)"
MOURA Leylane,Brazil, Athletics,27,Female,,,
MOURAO Norberto,Portugal, Canoe Sprint,40,Male,"""In the canoe, I feel incredible freedom and that's why I feel that it will be part of my life forever."" (record.pt, 13 Oct 2019)",,
MOURIZ DOPICO David,Spain, Wheelchair Basketball,38,Male,,,
MOUSSA Elsayed,Egypt, Sitting Volleyball,42,Male,,,
MOYSIADIS Gkremislav,Greece, Powerlifting,42,Male,"""Fall down seven times, stand up eight."" (Athlete, 03 Jun 2019)","To win a medal at the Paralympic Games. (Athlete, 03 Jun 2019)","Greek Para powerlifter Dimitrios Anatolitis. (Athlete, 03 Jun 2019)"
MOZGOVOI Bogdan,RPC, Swimming,20,Male,,"To win gold at the Paralympic Games. (Athlete, 10 Mar 2021)",
MROZ Bartlomiej,Poland, Badminton,27,Male,"""Always believe in yourself! Do not give up when it gets difficult! Never lose hope on achieving your goals!"" (badmintoneurope.com, 18 May 2016)","To compete at the 2020 Paralympic Games in Tokyo. (paralympic.org.pl, 02 Jan 2021)","Polish table tennis player Natalia Partyka. (bwfpara.tournamentsoftware.com, 22 Feb 2020)"
MTWEVE Ignas Madumla,United Republic of Tanzania, Athletics,43,Male,,,"Tanzanian Para athlete Ernest Nyabalale. (Athlete, 22 Aug 2021)"
MUELLER Edina,Germany, Canoe Sprint,38,Female,"""There are no limits even in wheelchairs."" (netzathleten.de, 22 Aug 2019)","To win a medal at the 2020 Paralympic Games in Tokyo. (Athlete, 21 Aug 2021)","German sprint paddler Birgit Fischer. (Athlete, 21 Aug 2021)"
MUELLER-ROTTGARDT Katrin,Germany, Athletics,39,Female,"""Never give up."" (Athlete, 17 Jul 2017)","To compete at the 2020 Paralympic Games in Tokyo. (bild.de, 15 Oct 2020)",
MUGIRWANAKE Louise,Rwanda, Sitting Volleyball,29,Female,,,
JAMALI Muhammad Hafiz,Malaysia, Cycling Track,31,Male,,,
MUKASHBEKOV Dastan,Kazakhstan, Athletics,31,Male,"""Don't be discouraged, everything is in your hands. Only forward."" (Athlete, 19 Aug 2021)","To win gold medals at the Paralympic Games, world championships, and Asian Para Games. (Athlete, 19 Aug 2021)","US boxers Muhammad Ali and Mike Tyson, Portuguese footballer Cristiano Ronaldo. (Athlete, 19 Aug 2021)"
MUKOBWANKAWE Liliane,Rwanda, Sitting Volleyball,32,Female,,"To compete at the 2020 Paralympic Games in Tokyo. (newtimes.co.rw, 13 Jan 2020)",
MUKUNDAN Niranjan,India, Swimming,27,Male,"""Live life like there is no tomorrow."" (Facebook profile, 04 Jul 2019)","To win a gold medal at the 2020 Paralympic Games in Tokyo. He also aspires to establish his own foundation and academy. (deccanchronicle.com, 17 Jan 2017; thenewsminute.com, 03 Jun 2019)","Indian cricketer Rahul Dravid, US swimmer Michael Phelps. (Athlete, 12 Sep 2019; thenewsminute.com, 03 Jun 2019)"
MULBAH Thomas,Liberia, Athletics,22,Male,,,
MULECK German,Argentina, Football 5-a-side,31,Male,"""Never give up, train hard, suffer now and live life like a champion."" (Athlete, 01 Apr 2016)","To compete at the 2020 Paralympic Games in Tokyo. (Red Audiovisual YouTube channel, 07 Apr 2020)","Italian goalkeeper Gianluigi Buffon. (Athlete, 01 Apr 2016)"
MULISA Hosiana,Rwanda, Sitting Volleyball,28,Female,,,
MULLEN Andrew,Great Britain, Swimming,24,Male,"""I've always worked incessantly at bettering myself, and I feel more determined than ever to do well. I just need to stay disciplined and focus on the processes to make sure I give it my best shot."" (glasgowtimes.co.uk, 05 Feb 2021)","To win a gold medal at the 2020 Paralympic Games in Tokyo. (gcu.ac.uk, 23 Feb 2021)",
MULLOOLY Zara,Great Britain, Swimming,18,Female,,,"British distance runner Mo Farah, British Para swimmer Ellie Simmonds. (Athlete, 08 Sep 2019; SportsAid, 08 May 2015)"
MUNEVAR FLOREZ Daniela Carolina,Colombia, Cycling Road,26,Female,"""A hard-fought defeat is worth more than an easy victory."" (Twitter profile, 20 May 2020)","To compete at the 2020 Paralympic Games in Tokyo. (boyaca.gov.co, 20 May 2020)",
MUNEVAR FLOREZ Daniela Carolina,Colombia, Cycling Track,26,Female,"""A hard-fought defeat is worth more than an easy victory."" (Twitter profile, 20 May 2020)","To compete at the 2020 Paralympic Games in Tokyo. (boyaca.gov.co, 20 May 2020)",
MUNGA Monica,Zambia, Athletics,22,Female,,"To win a medal at the 2020 Paralympic Games in Tokyo. (nhk.or.jp, 29 Jan 2018; jica.go.jp, 30 Oct 2019)","Zambian sprinter Roda Njobvu. (Athlete, 26 Aug 2021)"
MUNIALO Nelly Nasimiyu,Kenya, Athletics,36,Female,,,"Kenyan Para athlete Henry Wanyoike, Kenyan marathon runner Catherine Ndereba. (Athlete, 08 Sep 2016)"
MUNOZ MALAGON Michel,Mexico, Rowing,35,Male,"""Why do you want to be normal, if you can be extraordinary?"" (gob.mx, 11 Mar 2021)","To reach the final at the 2020 Paralympic Games in Tokyo. (Instituto del Deporte de la Ciudad de Mexico YouTube channel, 17 May 2021)",
MUNPHET Bancha,Thailand, Football 5-a-side,22,Male,,"To compete at the 2020 Paralympic Games in Tokyo. (newsdirectory3.com, 05 Jun 2021)",
MUNRO Beth,Great Britain, Taekwondo,28,Female,"""If you have a dream and you are given the opportunity to live out that dream, and you have the focus and determination, then you can achieve it."" (paralympics.org.uk, 26 May 2021)","To win a medal at the 2020 Paralympic Games in Tokyo. (Instagram profile, 26 May 2021; World Taekwondo YouTube channel, 11 May 2021)","British Para taekwondo athlete Amy Truesdale. (Destination Tokyo podcast, 28 May 2021)"
MUNRO-COOK Georgia,Australia, Wheelchair Basketball,27,Female,,,
MURAO Travis,Canada, Wheelchair Rugby,38,Male,"""Ignore the chair. See me for the athlete that I am."" (canadacupwcrugby.com, 01 May 2012)",,
MURAOKA Momoka,Japan, Athletics,24,Female,,"To compete at the 2020 Paralympic Games in Tokyo and the 2022 Paralympic Winter Games in Beijing. (SPORTS BIZ Official YouTube Channel, 17 Jun 2020; sports.nhk.or.jp, 14 Apr 2021)","Japanese Para alpine skier Taiki Morii. (Athlete, 10 Mar 2018)"
